"scheme","k","N","degree","worst","best"
"NNB",6,501187.233627272,2,0.00449992838882474,0.999999999603983
"NNB",6,630957.344480193,2,0.00566177020539005,0.999999999998544
"NNB",6,794328.234724282,2,0.00712251450897405,0.999999999999999
"NNB",6,1e+06,2,0.00895843171108257,1
"NNB",6,1258925.41179417,2,0.0112648882445278,1
"NNB",6,1584893.19246111,2,0.0141609139533784,1
"NNB",6,1995262.31496888,2,0.0177947359887821,1
"NNB",6,2511886.43150958,2,0.0223504074195383,1
"NNB",6,3162277.66016838,2,0.0280556248360234,1
"NNB",6,3981071.70553497,2,0.0351907513660231,1
"NNB",6,5011872.33627272,2,0.0440989117240964,1
"NNB",6,6309573.44480194,2,0.0551967628423421,1
"NNB",6,7943282.34724282,2,0.0689851088546367,1
"NNB",6,1e+07,2,0.0860578450277004,1
"NNB",6,12589254.1179417,2,0.107106687891992,1
"NNB",6,15848931.9246111,2,0.132917684962683,1
"NNB",6,19952623.1496888,2,0.164353548145166,1
"NNB",6,25118864.3150958,2,0.20231351082537,1
"NNB",6,31622776.6016838,2,0.247660078255604,1
"NNB",6,39810717.0553497,2,0.301100741824981,1
"NNB",6,50118723.3627272,2,0.36301447941279,1
"NNB",6,63095734.4480194,2,0.433221031854512,1
"NNB",6,79432823.4724282,2,0.510710074479121,1
"NNB",6,1e+08,2,0.593381538023474,1
"NNB",6,125892541.179417,2,0.677896309685688,1
"NNB",6,158489319.246111,2,0.759783251235211,1
"NNB",6,199526231.496888,2,0.833955025777026,1
"NNB",6,251188643.150958,2,0.89569086055948,1
"NNB",6,316227766.016838,2,0.941904689674959,1
"NNB",6,398107170.553499,2,0.972193534104914,1
"NNB",6,501187233.627271,2,0.989002458630242,1
"NNB",6,630957344.480194,2,0.996579124551617,1
"NNB",6,794328234.724282,2,0.999213565173985,1
"NNB",6,1e+09,2,0.999876441981986,1
"NNB",6,1258925411.79417,2,0.999987978545826,1
"NNB",6,1584893192.46111,2,0.999999360216778,1
"NNB",6,1995262314.96888,2,0.999999984068475,1
"NNB",6,2511886431.50958,2,0.999999999847516,1
"NNB",6,3162277660.16838,2,0.999999999999562,1
"NNB",6,3981071705.53499,2,1,1
"NNB",6,5011872336.27271,2,1,1
"NNB",6,6309573444.80194,2,1,1
"NNB",6,7943282347.24282,2,1,1
"NNB",6,1e+10,2,1,1
"NNB",6,12589254117.9417,2,1,1
"NNB",6,15848931924.6111,2,1,1
"NNB",6,19952623149.6888,2,1,1
"NNB",6,25118864315.0958,2,1,1
"NNB",6,31622776601.6838,2,1,1
"NNB",6,39810717055.3499,2,1,1
"NNB",6,50118723362.7271,2,1,1
"NNB",6,63095734448.0194,2,1,1
"NNB",6,79432823472.4282,2,1,1
"NNB",6,1e+11,2,1,1
"NNB",6,125892541179.417,2,1,1
"NNB",6,158489319246.111,2,1,1
"NNB",6,199526231496.888,2,1,1
"NNB",6,251188643150.958,2,1,1
"NNB",6,316227766016.838,2,1,1
"NNB",6,398107170553.499,2,1,1
"NNB",6,501187233627.271,2,1,1
"NNB",6,630957344480.194,2,1,1
"NNB",6,794328234724.282,2,1,1
"NNB",6,1e+12,2,1,1
"NNB",7,10000,1,2.96078034645042e-07,0.0143909354484185
"NNB",7,12589.2541179417,1,3.72740147303041e-07,0.0180832397813974
"NNB",7,15848.9319246111,1,4.69252020907085e-07,0.0227119138079989
"NNB",7,19952.6231496888,1,5.90753257756482e-07,0.0285080568947271
"NNB",7,25118.8643150958,1,7.43714231310477e-07,0.0357561141826946
"NNB",7,31622.7766016838,1,9.36280654784127e-07,0.0448040361954746
"NNB",7,39810.7170553497,1,1.1787073660452e-06,0.0560740721149898
"NNB",7,50118.7233627273,1,1.48390442977764e-06,0.0700733264678811
"NNB",7,63095.7344480193,1,1.86812463631725e-06,0.0874025038025528
"NNB",7,79432.8234724282,1,2.35182900831798e-06,0.108760210703855
"NNB",7,1e+05,1,2.9607764012729e-06,0.13493868707636
"NNB",7,125892.541179417,1,3.72739522147558e-06,0.166804856062476
"NNB",7,158489.319246111,1,4.69251029966422e-06,0.205258220260431
"NNB",7,199526.231496888,1,5.90751687257196e-06,0.251154831542742
"NNB",7,251188.643150958,1,7.43711742356989e-06,0.305185397381811
"NNB",7,316227.766016838,1,9.36276710017392e-06,0.367697663386326
"NNB",7,398107.170553497,1,1.17870111396856e-05,0.438461994475836
"NNB",7,501187.233627272,1,1.48389452088171e-05,0.516399156521344
"NNB",7,630957.344480193,1,1.86810893194611e-05,0.599324553947865
