"scheme","k","n","cov","eff","div"
"NNN",6,8.1e+08,0.885167671943291,0.0514117197028285,0.248903300024649
"NNN",6,8.2e+08,0.886624519640155,0.0508683312715523,0.248903300024649
"NNN",6,8.3e+08,0.888051351402955,0.050336335180714,0.248903300024649
"NNN",6,8.4e+08,0.889449053352444,0.0498153741899782,0.248903300024649
"NNN",6,8.5e+08,0.890818477097613,0.0493051059601595,0.248903300024649
"NNN",6,8.6e+08,0.892160441412884,0.0488052022786256,0.248903300024649
"NNN",6,8.7e+08,0.893475733817483,0.0483153483328333,0.248903300024649
"NNN",6,8.8e+08,0.894765112063651,0.0478352420285206,0.248903300024649
"NNN",6,8.9e+08,0.896029305539838,0.0473645933493706,0.248903300024649
"NNN",6,9e+08,0.897269016594536,0.046903123755215,0.248903300024649
"NNN",6,9.1e+08,0.898484921785989,0.0464505656160857,0.248903300024649
"NNN",6,9.2e+08,0.899677673062629,0.0460066616796319,0.248903300024649
"NNN",6,9.3e+08,0.900847898878705,0.045571164569621,0.248903300024649
"NNN",6,9.4e+08,0.901996205249261,0.0451438363134131,0.248903300024649
"NNN",6,9.5e+08,0.903123176748312,0.0447244478964664,0.248903300024649
"NNN",6,9.6e+08,0.904229377453775,0.0443127788420775,0.248903300024649
"NNN",6,9.7e+08,0.905315351842477,0.0439086168146951,0.248903300024649
"NNN",6,9.8e+08,0.906381625638304,0.0435117572452716,0.248903300024649
"NNN",6,9.9e+08,0.907428706616367,0.0431220029772298,0.248903300024649
"NNN",6,1e+09,0.908457085365832,0.0427391639317278,0.248903300024649
"NNN",6,1.1e+09,0.917809238563413,0.0392537674710499,0.248903300024649
"NNN",6,1.2e+09,0.925727021466754,0.0362930360753411,0.248903300024649
"NNN",6,1.3e+09,0.93250370059825,0.0337465062541576,0.248903300024649
"NNN",6,1.4e+09,0.938358479354746,0.0315327866821888,0.248903300024649
"NNN",6,1.5e+09,0.943458473798411,0.0295905567245078,0.248903300024649
"NNN",6,1.6e+09,0.947933285471965,0.0278727228401582,0.248903300024649
"NNN",6,1.7e+09,0.95188493404447,0.0263425090192641,0.248903300024649
"NNN",6,1.8e+09,0.955394790783784,0.0249707720195743,0.248903300024649
"NNN",6,1.9e+09,0.958528520906773,0.0237341151208874,0.248903300024649
"NNN",6,2e+09,0.961339672504904,0.0226135359166223,0.248903300024649
"NNN",6,2.1e+09,0.963872326049751,0.0215934394050142,0.248903300024649
"NNN",6,2.2e+09,0.966163079533603,0.0206609060301506,0.248903300024649
"NNN",6,2.3e+09,0.968242555807079,0.0198051408954938,0.248903300024649
"NNN",6,2.4e+09,0.970136561036282,0.0190170538351092,0.248903300024649
"NNN",6,2.5e+09,0.971866984888299,0.0182889354075535,0.248903300024649
"NNN",6,2.6e+09,0.973452507111407,0.017614204157198,0.248903300024649
"NNN",6,2.7e+09,0.974909157312074,0.016987207481746,0.248903300024649
"NNN",6,2.8e+09,0.976250762238276,0.0164030632808647,0.248903300024649
"NNN",6,2.9e+09,0.97748930601831,0.0158575329550724,0.248903300024649
"NNN",6,3e+09,0.978635222437859,0.0153469187390733,0.248903300024649
"NNN",6,3.1e+09,0.979697633708707,0.0148679800940134,0.248903300024649
"NNN",6,3.2e+09,0.980684546778613,0.0144178651519642,0.248903300024649
"NNN",6,3.3e+09,0.981603015703409,0.0139940541412193,0.248903300024649
"NNN",6,3.4e+09,0.98245927670611,0.0135943124174299,0.248903300024649
"NNN",6,3.5e+09,0.983258861112953,0.0132166512491759,0.248903300024649
"NNN",6,3.6e+09,0.984006690261447,0.0128592949036789,0.248903300024649
"NNN",6,3.7e+09,0.98470715563356,0.012520652882104,0.248903300024649
"NNN",6,3.8e+09,0.985364186814819,0.0121992963880399,0.248903300024649
"NNN",6,3.9e+09,0.985981309371187,0.01189393829459,0.248903300024649
"NNN",6,4e+09,0.986561694335856,0.0116034160177208,0.248903300024649
"NNN",6,4.1e+09,0.987108200682186,0.0113266768154679,0.248903300024649
"NNN",6,4.2e+09,0.987623411907884,0.0110627651212934,0.248903300024649
"NNN",6,4.3e+09,0.988109667654642,0.0108108115905651,0.248903300024649
"NNN",6,4.4e+09,0.988569091126035,0.0105700235957713,0.248903300024649
"NNN",6,4.5e+09,0.989003612936002,0.0103396769517238,0.248903300024649
"NNN",6,4.6e+09,0.989414991914284,0.0101191086889599,0.248903300024649
"NNN",6,4.7e+09,0.989804833308748,0.00990771072363153,0.248903300024649
"NNN",6,4.8e+09,0.990174604753714,0.00970492429676359,0.248903300024649
"NNN",6,4.9e+09,0.990525650315073,0.00951023507595317,0.248903300024649
"NNN",6,5e+09,0.990859202874825,0.00932316882924077,0.248903300024649
"NNN",6,5.1e+09,0.991176395077697,0.00914328759467339,0.248903300024649
"NNN",6,5.2e+09,0.991478269029216,0.0089701862805451,0.248903300024649
"NNN",6,5.3e+09,0.991765784906811,0.00880348964086744,0.248903300024649
"NNN",6,5.4e+09,0.992039828622178,0.00864284957863322,0.248903300024649
"NNN",6,5.5e+09,0.992301218653567,0.00848794273616922,0.248903300024649
"NNN",6,5.6e+09,0.99255071215004,0.00833846833754929,0.248903300024649
"NNN",6,5.7e+09,0.992789010395787,0.00819414625284,0.248903300024649
"NNN",6,5.8e+09,0.993016763710662,0.00805471525802361,0.248903300024649
"NNN",6,5.9e+09,0.993234575852978,0.00791993146790927,0.248903300024649
"NNN",6,6e+09,0.993443007981968,0.00778956692230029,0.248903300024649
"NNN",6,6.1e+09,0.993642582229919,0.00766340830821664,0.248903300024649
"NNN",6,6.2e+09,0.993833784927616,0.00754125580314261,0.248903300024649
"NNN",6,6.3e+09,0.994017069521316,0.00742292202613787,0.248903300024649
"NNN",6,6.4e+09,0.994192859214729,0.0073082310852603,0.248903300024649
"NNN",6,6.5e+09,0.994361549365432,0.00719701771114181,0.248903300024649
"NNN",6,6.6e+09,0.994523509661628,0.00708912646776414,0.248903300024649
"NNN",6,6.7e+09,0.994679086102086,0.00698441103252948,0.248903300024649
"NNN",6,6.8e+09,0.994828602799461,0.00688273353863231,0.248903300024649
"NNN",6,6.9e+09,0.994972363624863,0.00678396397353392,0.248903300024649
"NNN",6,7e+09,0.995110653709519,0.00668797962803575,0.248903300024649
"NNN",6,7.1e+09,0.995243740817625,0.00659466459105645,0.248903300024649
"NNN",6,7.2e+09,0.995371876602898,0.00650390928575092,0.248903300024649
