"scheme","Counts","samp.encoding","probs","k","di","choices"
"NNB","0,3,1,2,0","BBBCDD",0.000133182949753594,6,1440,60
"NNB","0,3,1,1,1","BBBCDE",5.54928957306643e-05,6,1200,120
"NNB","0,3,1,0,2","BBBCEE",2.31220398877768e-05,6,1000,60
"NNB","0,3,0,3,0","BBBDDD",0.000106546359802876,6,1728,20
"NNB","0,3,0,2,1","BBBDDE",4.43943165845316e-05,6,1440,60
"NNB","0,3,0,1,2","BBBDEE",1.84976319102214e-05,6,1200,60
"NNB","0,3,0,0,3","BBBEEE",7.70734662925892e-06,6,1000,20
"NNB","0,2,4,0,0","BBCCCC",0.000390184423106233,6,2500,15
"NNB","0,2,3,1,0","BBCCCD",0.000312147538484987,6,3000,60
"NNB","0,2,3,0,1","BBCCCE",0.000130061474368744,6,2500,60
"NNB","0,2,2,2,0","BBCCDD",0.000249718030787989,6,3600,90
"NNB","0,2,2,1,1","BBCCDE",0.000104049179494996,6,3000,180
"NNB","0,2,2,0,2","BBCCEE",4.33538247895815e-05,6,2500,90
"NNB","0,2,1,3,0","BBCDDD",0.000199774424630392,6,4320,60
"NNB","0,2,1,2,1","BBCDDE",8.32393435959965e-05,6,3600,180
"NNB","0,2,1,1,2","BBCDEE",3.46830598316652e-05,6,3000,180
"NNB","0,2,1,0,3","BBCEEE",1.44512749298604e-05,6,2500,60
"NNB","0,2,0,4,0","BBDDDD",0.000159819539704313,6,5184,15
"NNB","0,2,0,3,1","BBDDDE",6.65914748767971e-05,6,4320,60
"NNB","0,2,0,2,2","BBDDEE",2.77464478653321e-05,6,3600,90
"NNB","0,2,0,1,3","BBDEEE",1.15610199438884e-05,6,3000,60
"NNB","0,2,0,0,4","BBEEEE",4.81709164328683e-06,6,2500,15
"NNB","0,1,5,0,0","BCCCCC",0.00073159579332419,6,6250,6
"NNB","0,1,4,1,0","BCCCCD",0.000585276634659352,6,7500,30
"NNB","0,1,4,0,1","BCCCCE",0.000243865264441397,6,6250,30
"NNB","0,1,3,2,0","BCCCDD",0.00046822130772748,6,9000,60
"NNB","0,1,3,1,1","BCCCDE",0.000195092211553117,6,7500,120
"NNB","0,1,3,0,2","BCCCEE",8.12884214804654e-05,6,6250,60
"NNB","0,1,2,3,0","BCCDDD",0.000374577046181984,6,10800,60
"NNB","0,1,2,2,1","BCCDDE",0.000156073769242493,6,9000,180
"NNB","0,1,2,1,2","BCCDEE",6.50307371843723e-05,6,7500,180
"NNB","0,1,2,0,3","BCCEEE",2.70961404934886e-05,6,6250,60
"NNB","0,1,1,4,0","BCDDDD",0.000299661636945587,6,12960,30
"NNB","0,1,1,3,1","BCDDDE",0.000124859015393994,6,10800,120
"NNB","0,1,1,2,2","BCDDEE",5.20245897474979e-05,6,9000,180
"NNB","0,1,1,1,3","BCDEEE",2.16769123947908e-05,6,7500,120
"NNB","0,1,1,0,4","BCEEEE",9.03204683116281e-06,6,6250,30
"NNB","0,1,0,5,0","BDDDDD",0.000239729309556471,6,15552,6
"NNB","0,1,0,4,1","BDDDDE",9.98872123151962e-05,6,12960,30
